ASIN List,Campaign Id,Campaign Name,Brand Name,Campaign Start Date,Campaign End Date,Commission Rate,Campaign Budget,Budget Remaining,Available Slot,Total Slot,Recommended
"[B0HGKPQY89, B0HGLJP9NS, B0HGK5566T, B0HGLWTS6P, B0HGKHTN28, B0HGKLP8HW, B0HGL2LT9M, B0HGLNKXTQ, B0HGKXL2YY, B0HGL5WWLR, B0HGL1JWMB, B0HGKSTV32, B0HGLB6PHX, B0HGKLZNC6, B0HGLC43SH, B0HGKVZR9J, B0HGL47JPW, B0HGKHV8ZF, B0HGLB1S15, B0HGL3691M, B0HGKK354B, B0HGL9Z63J, B0HGKTG818, B0HGKVQJS4, B0HGKBJWBB, B0HGL1GZG7, B0HGL9XV3F, B0HGLFWJM6, B0HGL1MDB5, B0HGL3R2K4, B0HGL9XV3C, B0HGL1X3L5, B0HGKSXDRT, B0HGKF82DP, B0HGKSKNDZ, B0HGKRBR85, B0HGKQ28F7, B0HGL38ZBJ, B0HGL8QBNP, B0HGKF9YJY, B0HGKWD3L1, B0HGKBB68Y, B0HGLCF29V, B0HGKRCD5M, B0HGM5SBC3, B0HGLDTVG4, B0HGL4SM9P, B0HGLNBRYF, B0HGK5GPKJ, B0HGLD2YRB, B0HGL7227F, B0HGL38CJ1, B0HGL1SWHH, B0HGL6Z495, B0HGL5WQBL, B0HGLGFBW4, B0HGL9ZB61, B0HGL62SDF, B0HGKLCMRM, B0HGLC3RQ3, B0HGL1QS9S, B0HGL9ZH8V, B0HGLB6ZW6, B0HGL1WSTH, B0HGKSC1ML, B0HGLD813Y, B0HGKZK7JG, B0HGKX79RW, B0HGLKZDLC, B0HGKLWK44, B0HGL5YP17, B0HGL52ZPT, B0HGLH6CCD, B0HGL1S6BF, B0HGL6RFQJ, B0HGKSZY7P, B0HGKXG8MB, B0HGKLDLHF, B0HGL4XVKX, B0HGLSHLW9, B0HGL5RTZZ, B0HGKW7KXJ, B0HGK4Z3CX, B0HGLNVFBG, B0HGKWZZXP, B0HGKPXDFR, B0HGKWX6T4, B0HGL86ZH3, B0HGL546Q5, B0HGKTJ7PZ, B0HGL2FM4T]",amzn1.campaign.22B9OORZCHHN5,Striped shirt/sweatshirt for women/girls [20%Commission],XIJIENIUD,2026-09-02,2026-10-31,20.00%,5000.0,5000.0,39,800,false
"[B08DTMGQJP, B08DTNDVZB, B0BXWWQ3PB, B0CZ8X2ZZS, B0BXWS6Q15, B07PPQ4584, B0BKJJNNQP, B0BT9Y544K, B0BT9Z9NH8, B07MR4FSPT, B0BT9THM82, B09Y5Q3B8J, B08DTMX5QX, B0DN13CLWL, B0CZ8MVDSR, B0BT9Z4YCK, B0CG3DDR68, B0BMQ3FWC3, B0BJP4T926, B08DTTC695, B07ZWYV5PQ, B0CNBPW8PN, B0DN14M1QJ, B0CG3DV72X, B0DN11YKZ2, B0CNC19PN8, B0CNBKL4PP, B0CZ97S72M, B0CNBKQDHW, B0BT9Z7Q2G, B0DN11BL29, B088NML6JQ, B08DTJJ44W, B07PNKLX88, B09QKKJL9G, B0CNBNK91L, B0BXWVH33F, B07PT4GHW5, B07PNL7HKK, B0BJNZZ8P6, B0CNP2YS1S, B0DCDQYXC3, B0DN14VTGY, B0BCFH2M66, B0BCDTBJXQ, B0BJPKH6YY, B0BMQGDDCG, B07PNKTLXX, B07PRZNMFS, B0BLZHWCNT, B0DN14W8WV, B0CG9CWYV8, B0BJPS5LPF, B07RNKSQQX, B0BXWSLSN7, B0C9Y14TB6, B0CG3CVHGR, B0BXWSKMMB, B082F8BVZH, B0BXWZ113X, B0BXX13M1J, B0DCF1MF3F, B0BT9YDG6N, B0BMQ353XK, B082Y296RL, B0BMQ31XXG, B07ZWXXS3T, B0BT9ZKMMF, B07PNLS5Z6, B0BXWTMWQP, B08DTP6B88, B0BMQ3NJFC, B0BXWXPR81, B0DMZYM5FD, B07RNKT5M1, B07ZWY9N9S, B0CNCBGLV7, B0CNBKPC6R, B07PMMP712, B0CG91WYRD, B07RSR4JWP, B0CNC235DJ, B0CNC3NK4F, B0BJP9JQBM, B0BXWV19YR, B07PT46H76, B0CNBZR2ST, B0BLZP7LHG, B0BWHVSMNK, B0BXWTX66S, B07RRP8C3Z, B07PT3F95K, B07PPRK5FH, B0BMQ4MNWY, B0C9XYG442, B0BT9WKVBM, B0BMQ5KFYM, B08DTHQJX2, B07PT4KP69, B0BT9WWDLX, B0CNC4DJ5Q, B088NMWD9J, B07PMLR3VJ, B0CZ8P35R1, B07PS11Z54, B07PT4PCN4, B0DN11CSZK, B0CG931BFL, B0BXX1T7ZF, B0BXWYRQ1Y, B07PMNCBPY, B0BLZHPMQZ, B0CG3G6FKV, B08DTWGBT2, B0DCDWRBT8, B07PPRGCV4, B0DCDQWWBK, B0DN14JSN3, B0CNBKNCFL, B0BMQ7ZLF1, B07PS18NB6, B0BMQ4VKD7, B0BJPQPZ8N, B0CG8ZZ3JM, B0CNBPQNCN, B0CNCHZ6K7, B0BMQ3FQDS, B0BXX1LN61, B0DN11FLQZ, B0BBVJMXVS, B0BMQ2YJJC, B0DN11G1B9, B07PNK673M, B088N7BVMY, B0BMQ3MB9M, B0BTB127DM, B07ZWYRMYV, B0DN126NYT]",amzn1.campaign.HK33MY26PHCJ,10% COMMISSION FOR YOU!!!! Flannel Fleece Leaves Pattern Blanket,NEWCOSPLAY,2026-09-05,2026-11-30,10.00%,5000.0,5000.0,66,800,false
"[B0F3HDW154, B0GXHNW3DC, B0G2WPSWNV, B0F3HRRT5X, B0GY4V55WX, B0DZHQCHGZ, B0F3HPCCPQ, B0DZHNMN91, B0F3HR2QPK, B0F3HM73NX, B0DZHMN9B3, B0F3HMKC32, B0F3HMP2SP, B0DR2Z3CKY, B0DR3235PZ, B0F3HVB5RS, B0DR2ZTBT9, B0GXHLRSBW, B0GXHK2217, B0G2XBH9WD, B0F3HQXS5H, B0GY4K84SD, B0F3HRWYLC, B0DZHPVK7J, B0DZHQ29SG, B0DZHKKX81, B0DR2Z8T1K, B0DR2Z2FPW, B0G2WKZBGS, B0F2Z5BNY6, B0G2WPVJMM, B0F3HJJ8BH, B0G2WZPVJQ, B0G2X31RK5, B0G2WQ4QKK, B0DZHQRL91, B0DR32GZYJ, B0DZHP7M5S, B0DZHN52Y8, B0DR2ZK4R6, B0F3HMS6XN, B0F3HRD3Q7, B0GXHGL9Z9, B0DR33RQR3, B0DR34H8Z9, B0F3HGFWJN, B0G2WPNGNJ, B0GY4KX4N6, B0G2X5ZWPP, B0DR32DNR2, B0G2XN2MGY, B0F3HR7VNW, B0F3H1TRGN, B0GY4N8W1X, B0DR2Z8JHN, B0GXHP62HX, B0F3HMQLPS, B0DZHNSRTC, B0DR2XYCPN, B0F3HQYWHC, B0G2X8KQV3, B0F3JBX3SY, B0GY4JBXMG, B0DZHP9NB4, B0DZHP2GZ4, B0DZHPWRPS, B0F3HWZSXS, B0G2WW31MX, B0G2X33C37, B0F3HRL2YL, B0DR31633K, B0DR31CCDM, B0F3HMR7JJ, B0DZHPJ9MJ, B0DR2YHMRD, B0DZHNTNQY, B0DR31YP53, B0GY4HML4F, B0DR2Z3YL1, B0F3H2FBTF, B0F3HRLRJY, B0DZHP78ZN, B0DR33GLK6, B0GY4JN7SF, B0GY4KQRPD, B0G2X7WSC1, B0F3HVDG9M, B0DR31LV1M, B0F3HRBP3G, B0DR319DGT, B0DR2WR95Z, B0DR2Z5NJW, B0F3HRSD9F, B0GY4L1XWV, B0DZHLH2FB, B0DZHP7P9S, B0F3HQRZSP, B0GY4PH2NH, B0F2Z5QP1R, B0GXHS11Q2, B0F3GX35RK, B0GY4JBT61, B0DZHNNBJ1, B0GY4GVCX2, B0GXHSLR9C, B0DR32C3SW, B0F3HRZ3BJ, B0F3HD7H1Y, B0DZHMJ4NX, B0F3GT51FJ, B0DR3277G5, B0F3GT51FL, B0G2WSGDLB]",amzn1.campaign.4C2CCX02XY9,CiCiBird Swim Dress for Beach & Pool | 12% Commission #23,CiCiBird,2026-09-02,2026-10-25,12.00%,5000.0,5000.0,51,800,false
"[B0FS22P3R6, B0FS22ZMX5, B0GJJ977LJ, B0FS22MQ1G, B0FS1ZHPNY, B0FS21BDKQ, B0FS21G8P4, B0FS21XB14]",amzn1.campaign.2PQOY64MP2RBY,Fashion Stainless Apple Watch Band | 20% Commission | Gift-Ready,POJUSASI,2026-09-02,2026-12-31,20.00%,50000.0,50000.0,61,800,false
"[B0FS2184KS, B0GF3DV4DD, B0FS22RPRL, B0FS23YKDD, B0GF3S2B3J, B0FS1YB8MH, B0FS23RH2K, B0FS1ZCB3P, B0FS1YC2LJ, B0GF3BNMW3, B0FS1YC2LH, B0FS25ZSRQ, B0FS216W3G, B0GF3B4RQK, B0FS1ZL6TQ, B0FS23G72L, B0FS257N41, B0FS1VWBYJ, B0GF349W4P, B0GF3FQP7M, B0FS1YC4V9, B0GF3532WG, B0GF38624R, B0GF35GVZM, B0GF3F1L4N, B0GF38GFJQ, B0GF358FYF, B0FS22GWCT, B0FS1VVN4J, B0FS215MVP, B0FS243T9P, B0H4LJNZX2, B0FS1YB2CV, B0GF3BX35D, B0GF3BC73K, B0GF38S98R, B0FS23R8V3]",amzn1.campaign.3LGIBKULI87B6,Top-Selling Leather Apple Watch Band | 14% Commission,POJUSASI,2026-09-02,2027-09-02,14.00%,50000.0,50000.0,65,800,false
"[B08DTMGQJP, B08DTNDVZB, B0BXWWQ3PB, B0CZ8X2ZZS, B0BXWS6Q15, B07PPQ4584, B0BKJJNNQP, B0BT9Y544K, B0BT9Z9NH8, B07MR4FSPT, B0BT9THM82, B09Y5Q3B8J, B08DTMX5QX, B0DN13CLWL, B0CZ8MVDSR, B0BT9Z4YCK, B0CG3DDR68, B0BMQ3FWC3, B0BJP4T926, B08DTTC695, B07ZWYV5PQ, B0CNBPW8PN, B0DN14M1QJ, B0CG3DV72X, B0DN11YKZ2, B0CNC19PN8, B0CNBKL4PP, B0CZ97S72M, B0CNBKQDHW, B0BT9Z7Q2G, B0DN11BL29, B088NML6JQ, B08DTJJ44W, B07PNKLX88, B09QKKJL9G, B0CNBNK91L, B0BXWVH33F, B07PT4GHW5, B07PNL7HKK, B0BJNZZ8P6, B0CNP2YS1S, B0DCDQYXC3, B0DN14VTGY, B0BCFH2M66, B0BCDTBJXQ, B0BJPKH6YY, B0BMQGDDCG, B07PNKTLXX, B07PRZNMFS, B0BLZHWCNT, B0DN14W8WV, B0CG9CWYV8, B0BJPS5LPF, B07RNKSQQX, B0BXWSLSN7, B0C9Y14TB6, B0CG3CVHGR, B0BXWSKMMB, B082F8BVZH, B0BXWZ113X, B0BXX13M1J, B0DCF1MF3F, B0BT9YDG6N, B0BMQ353XK, B082Y296RL, B0BMQ31XXG, B07ZWXXS3T, B0BT9ZKMMF, B07PNLS5Z6, B0BXWTMWQP, B08DTP6B88, B0BMQ3NJFC, B0BXWXPR81, B0DMZYM5FD, B07RNKT5M1, B07ZWY9N9S, B0CNCBGLV7, B0CNBKPC6R, B07PMMP712, B0CG91WYRD, B07RSR4JWP, B0CNC235DJ, B0CNC3NK4F, B0BJP9JQBM, B0BXWV19YR, B07PT46H76, B0CNBZR2ST, B0BLZP7LHG, B0BWHVSMNK, B0BXWTX66S, B07RRP8C3Z, B07PT3F95K, B07PPRK5FH, B0BMQ4MNWY, B0C9XYG442, B0BT9WKVBM, B0BMQ5KFYM, B08DTHQJX2, B07PT4KP69, B0BT9WWDLX, B0CNC4DJ5Q, B088NMWD9J, B07PMLR3VJ, B0CZ8P35R1, B07PS11Z54, B07PT4PCN4, B0DN11CSZK, B0CG931BFL, B0BXX1T7ZF, B0BXWYRQ1Y, B07PMNCBPY, B0BLZHPMQZ, B0CG3G6FKV, B08DTWGBT2, B0DCDWRBT8, B07PPRGCV4, B0DCDQWWBK, B0DN14JSN3, B0CNBKNCFL, B0BMQ7ZLF1, B07PS18NB6, B0BMQ4VKD7, B0BJPQPZ8N, B0CG8ZZ3JM, B0CNBPQNCN, B0CNCHZ6K7, B0BMQ3FQDS, B0BXX1LN61, B0DN11FLQZ, B0BBVJMXVS, B0BMQ2YJJC, B0DN11G1B9, B07PNK673M, B088N7BVMY, B0BMQ3MB9M, B0BTB127DM, B07ZWYRMYV, B0DN126NYT]",amzn1.campaign.2GTGRTA8E6JHQ,10% COMMISSION FOR YOU!!!! Flannel Fleece Leaves Pattern Blanket,NEWCOSPLAY,2026-09-04,2026-11-30,10.00%,5000.0,5000.0,65,800,false
"[B0CWMYK1K5, B0CQ777LWJ, B0CWK7YDP6, B0CW211W6W, B0DHN1NPZL, B0CWLDWKDZ, B0CWNCJKXR, B0CWKZ29G9, B0CWL3VNBF, B0CWMRWZ9L, B0CWN8DXTX, B0CWN6XS45, B0CWNKWCG7, B0CWN6RSG7, B0CWN6KYGB, B0D8GPCRXH, B0CWL6366N, B0CQ73MLDM, B0CWN2LY1Q, B0CW1B938Z, B0DHMRX4KX, B0CWN7SBYQ, B0CWNBW5Q5, B0CWNKSHHW, B0CQ2645QN, B0CWNCLF5N, B0CWL7R7QY, B0CW1Q35DG, B0CWN4M8JK, B0CWNKTF1M, B0CWNC5YQJ, B0CQ71N25S, B0CWN65P9L, B0CWMTG9C8, B0CWL3VNF6, B0CWN56QTS, B0CQ1WYFBC, B0CWL96T65, B0CWN27RQF, B0CWL4P5YZ, B0CWMY1J6S, B0CQ7LY6D9, B0CQ7QJVQR, B0CWMW1BTN, B0CWL5P9PT, B0CWMT6164, B0CWMDS19V, B0CWNC68ZB, B0CWNKT5FM, B0CWMWJFBN, B0CWN1HZGW, B0CWNFZB8L, B0CW1QBRDK, B0CWNKWPC5, B0CWNDR7ZM, B0CWMRXY8M, B0CWKVR3XY, B0CWN6ZD4N, B0CQ1X2XPF, B0CWNCJVKB, B0CWKZQD63, B0CWNJ5TZY, B0CWN3R3VB, B0CWL1H319, B0CWKZ6R6W, B0CWNJJKMC, B0CWLCJ1G2, B0CWN4KPS9, B0CWKPR68F, B0CQ1MP36F, B0CWMVW7L9, B0CQ73Y8KQ, B0CWNCLG3W, B0CWNDD26R, B0CWL62VH9, B0CQ1X1KJ9, B0CWLBBYHP, B0CWN55H8M, B0CWN91PBZ, B0CWNCZXL9, B0CWMY4Z1B, B0CWN8LRCH, B0CWN2K5YB, B0CWKZNBNF, B0CWKVYXZY, B0CWNGNNK2, B0CWN2K5Y9, B0CWN4LY3M, B0CQ1V2G7Z, B0CWL2MZZ3, B0CQ1WYWYJ, B0CQ6ZHNBD, B0CWLBKDZR, B0CWNPGTD6, B0CWN55SQH, B0CWN84KPY, B0DHN5HB94, B0CWKWYFGV, B0CW1Q87P7, B0CWKYPGN4, B0CQ78T7T6, B0CW1B7HSX, B0CWNPHXJF, B0CQ27DJJC, B0CWNF5X3N, B0CWKYKM77, B0CWNBTDRD, B0CWN3PMK9, B0CWN1G8V1, B0CWN7C6V9, B0CWL1GCWZ, B0CWN4NL5N, B0CWN74J9V, B0CWNPHXJC, B0DHMTJPMN, B0DHN3ZQHR, B0CQ6Y5LDC, B0CWNGRQXZ, B0CWL8C7ZV, B0CWN6592T, B0CWNN8JBK, B0CWN4KF37, B0CWMRXMWG, B0CWMY263C, B0CQ1MF6G3, B0CWL99NHQ, B0CWLC2B2D, B0CWNG7WTQ, B0CWNBVC66, B0CWN14XZ2, B0CQ7N5CWH, B0CWKVWDCQ, B0CWN2839Q, B0CWN46JJM, B0CW19BX7F, B0CWLF3K2P, B0CWMY4P28, B0CWN79ZLH, B0D8GMP7CR, B0DHN1P1NG, B0CWN46JJY, B0CWNCRL7S, B0CWL9BVMW, B0CWM6NHZ7, B0CWMWF1HD, B0CWN9MBXW, B0CWNCXR1P, B0D8GNM88V, B0CQ7GCN34, B0CWN7NLB9, B0CWN95SQW, B0CWKZL8TV, B0CWNG35NF, B0CWMWVFFS, B0CWN28RTV, B0CWN9N8X5, B0CWN9K1RW, B0CWN16JW9, B0CWN6JZHV, B0CQ1KYYKW, B0CWKWWS2V, B0CWNKYKJZ, B0DHN2PHTH, B0CWNCJJZG, B0CWKVV453, B0CWL7VRQ4, B0CWNC7V9N, B0CWL1GQY3, B0CWMVWJVW, B0CWN8YGQF, B0CWNG1WYD, B0CWMWFN6H, B0DHMMHCRC, B0CW186LLH, B0CWN82K9S, B0CWN9KBDX, B0CWLC47L5, B0CWN282DL, B0CWMT7W6M, B0CWMZ5XHG, B0CWL8B2R5, B0CWN7W8RH, B0CWNDBHB5, B0CWL9J7GJ, B0CWN9N8XJ, B0CWN6JZHK, B0CWN4M9GC, B0CWMRXBDW, B0CWNGMXXX, B0CWN8HSXV, B0CWN2Z8K2, B0CWNKXZ9B, B0CWM818JV, B0CWNBX3NS, B0CWLBSDSY, B0D8GJ1HJ2, B0CWN94P26, B0CWL2V4S3, B0CWMWJDF6, B0CWL899XP, B0CWKYW2HD, B0CQ1W71ZQ]",amzn1.campaign.238PQTFGI6RW9,15% COMMISSION FOR YOU!!!! Flannel Fleece 3D Ribbed & 3D Clouds Blanket,NEWCOSPLAY,2026-09-06,2026-11-30,15.00%,5000.0,5000.0,0,800,false
[B0GCNRR7ZQ],amzn1.campaign.J0XZQQOL5MB0,Silicone Foam Dressing 2x5 - What's Inside the Pack? - B0GCNRR7ZQ - 10%,JJ CARE,2026-09-02,2026-12-03,10.00%,5000.0,5000.0,76,800,false
"[B0H751NPR5, B0H98NMBM7, B0H7SLCZQT, B0GWHRLQLH, B0H2YLRY54, B0GWHX7XCG, B0H7MQBLJP, B0H5CFRKFQ, B0H5CRNKGB, B0GXNW1SHQ, B0H5CGGGCK, B0H98ZJMQR, B0H98XC7PF, B0GWHCC839, B0H7MCGHX4, B0H7M81RJ7, B0H7RY5Q6Z, B0GWJ49XNS, B0H98R2KB1, B0GXP25LNT, B0H5CFHSG9, B0GWHP3T1B, B0GWHP11C9, B0H5CCSZBC, B0H98X3TWK, B0H256ZQ5Z, B0GWGY7SVY, B0H4V466JS, B0GY71HGGP, B0H25DJDVJ, B0H74Z52J7, B0H1Q3G4YZ, B0H98Y7WFC, B0H1Q9SYNC, B0H7S71DM1, B0GWJ3FHGP, B0H7RNBRSF, B0HDSWXYL4, B0H7MTXMYY, B0H7S626JL, B0H5CC73XL, B0H98Y4SV8, B0H7SS74WT, B0HFHZXNB8, B0H98YVF6N, B0GWHM5M3Q, B0HDT2F8C5, B0H7RS6QMR, B0GWJPBPQ7, B0H7MJ3BVN, B0H4V8132K, B0H7S1VRVK, B0GWHZXC4H, B0HFJ7VGZZ, B0H991NP1V, B0H4Z1VP6M, B0H5CDXGPT, B0H7SSB79W, B0GZ8CR2DS, B0GWHDN66W, B0H4VCRS59, B0H98X3QNX, B0HFJC7Z71, B0H7MLDG96, B0H5C9VMYT, B0H25J87XW, B0GWHV595R, B0H4YNP7N8, B0GWHNWBJP, B0H7SRTVN8, B0GWHHMJT4, B0H756FJWW, B0H5C2VJX2, B0GWHK4TH8, B0H7SMGS9F, B0GWHVZLQM, B0H4128M89, B0GWHVVDMF, B0GZ869NJ7, B0H7RF9WXB, B0H7MFDZYM, B0GXFTV3WF, B0H98WHPY8, B0H98Y9GM7, B0H1Q2NNXR, B0H1QDYXJQ, B0H4TVZNJ5, B0GWHPQF9Y, B0H7RQNZ4J, B0GWHC8TS2, B0H7X1BG16, B0H9925ST3, B0H2YNLTXQ, B0H7MRBWBP, B0GWJPW3ML, B0H991N5ZF, B0H7RXNRMJ, B0H7RQB987, B0H7MHDTDH, B0H7M82V76, B0H7RR9GS8, B0H7M82V75, B0H7SQN79T, B0H7RNWGHG, B0GWHBZ3YN, B0H5CCYG4S, B0GWHZYLGS, B0H4VB7JDD, B0H98YL5MZ, B0GWHHHT98, B0H7MNDHY3, B0GWJRNMWR, B0H7SP8YXT, B0H7S2NXBN, B0H5C75YMX, B0GWHTZCJ2, B0GWHSZ7N2, B0H25MSH2Y, B0H98WLWJ6, B0H7MD1LM9, B0H5C7C2FT, B0HFJ92T44, B0H25MVYLX, B0GWJ1XTGT, B0GWHZK76M, B0H75B2CKW, B0GWJMY522, B0H25KH2NX, B0H98TXCBL, B0H5CKGKTK, B0H991ZQBH, B0GZ8MP91D, B0H7SLT4NC, B0HDSTFMX4, B0GZ869ZMR, B0GWJ42L73, B0H7SN2X15, B0H5CB5GYQ, B0H98TKMMG, B0GWHL666W, B0GWHCMMJP, B0HDT3WZ5X, B0H29LPKRZ, B0H98VJL2T, B0H74W461T, B0H5C2Q9SV, B0GXNWFWG6, B0H7SRKQHY, B0GWJBTDQV, B0GWHH9GK1, B0GWH9761Y, B0H7SMBZ2Z, B0GXNVVQHM, B0GWJRXQ6B, B0HDSXBTLH, B0H7SSJNWX, B0GWJVBRSX, B0GWJ23J11, B0GWJ3NK6X, B0GWHYSSFL, B0H7RKXGDJ, B0H7S2DGBB, B0H7S1CWPN, B0GWHYPH9B, B0H7R8ZDTQ, B0HDSZKWP5, B0H98P8GZH, B0H5C5684F, B0H7S75GTN, B0GYDBPC1N, B0H7MMY5BP, B0H5C8C2QF, B0H98XJQS3, B0H7MK4TTC, B0H5C6WN2L, B0GYF2J8BF, B0H5CBQ1JH, B0H7S24965, B0H3ZTTZ6X, B0H29RRV63, B0H25K4SWT, B0GYD62T7Q, B0GWHW33LK, B0H98RSBR8, B0H5CFQKWH, B0H7MPM51H, B0H7RM82PS, B0GWHZDM9G, B0H98Z7S64, B0H752JRX7, B0H25GTR8C, B0H4V8QNLP, B0GWHXPZ6T, B0GWJ16R5B, B0GZ8FZMZ2, B0H7M9NTJV, B0GWHYSZ1Q, B0GWHY1J7H, B0H2YLB372, B0GXNTNWJR, B0H7MFHR64, B0H7MQ7G6W, B0H5C9D8KQ, B0H5C2PSW5, B0GWHPH8PF, B0GWHJRZPD, B0H7SS6BY7, B0GYF466T6, B0GWHNFVL7, B0GZ8T4R3J, B0H5CKC58V, B0GWJ2M4ZS, B0H7M7KG1B, B0GXNYZZLN, B0GWJ16KHR, B0GXNTD6W9, B0GXNXQLZ4, B0H4V1SYTR, B0H4V89NDP, B0H7RRGL8H, B0H4S66VMV, B0GWJ6BZ45, B0H7MCRM27, B0GWHHHB7P, B0H25J7X5Y, B0GXNNN9HY, B0GXNWBSP7]",amzn1.campaign.2W3RMMUXQP4CD,A Warm and Loving Family,Carlmaya,2026-09-02,2027-01-31,10.00%,1000000.0,999981.4,42,800,false
"[B0CWMYK1K5, B0CQ777LWJ, B0CWK7YDP6, B0CW211W6W, B0DHN1NPZL, B0CWLDWKDZ, B0CWNCJKXR, B0CWKZ29G9, B0CWL3VNBF, B0CWMRWZ9L, B0CWN8DXTX, B0CWN6XS45, B0CWNKWCG7, B0CWN6RSG7, B0CWN6KYGB, B0D8GPCRXH, B0CWL6366N, B0CQ73MLDM, B0CWN2LY1Q, B0CW1B938Z, B0DHMRX4KX, B0CWN7SBYQ, B0CWNBW5Q5, B0CWNKSHHW, B0CQ2645QN, B0CWNCLF5N, B0CWL7R7QY, B0CW1Q35DG, B0CWN4M8JK, B0CWNKTF1M, B0CWNC5YQJ, B0CQ71N25S, B0CWN65P9L, B0CWMTG9C8, B0CWL3VNF6, B0CWN56QTS, B0CQ1WYFBC, B0CWL96T65, B0CWN27RQF, B0CWL4P5YZ, B0CWMY1J6S, B0CQ7LY6D9, B0CQ7QJVQR, B0CWMW1BTN, B0CWL5P9PT, B0CWMT6164, B0CWMDS19V, B0CWNC68ZB, B0CWNKT5FM, B0CWMWJFBN, B0CWN1HZGW, B0CWNFZB8L, B0CW1QBRDK, B0CWNKWPC5, B0CWNDR7ZM, B0CWMRXY8M, B0CWKVR3XY, B0CWN6ZD4N, B0CQ1X2XPF, B0CWNCJVKB, B0CWKZQD63, B0CWNJ5TZY, B0CWN3R3VB, B0CWL1H319, B0CWKZ6R6W, B0CWNJJKMC, B0CWLCJ1G2, B0CWN4KPS9, B0CWKPR68F, B0CQ1MP36F, B0CWMVW7L9, B0CQ73Y8KQ, B0CWNCLG3W, B0CWNDD26R, B0CWL62VH9, B0CQ1X1KJ9, B0CWLBBYHP, B0CWN55H8M, B0CWN91PBZ, B0CWNCZXL9, B0CWMY4Z1B, B0CWN8LRCH, B0CWN2K5YB, B0CWKZNBNF, B0CWKVYXZY, B0CWNGNNK2, B0CWN2K5Y9, B0CWN4LY3M, B0CQ1V2G7Z, B0CWL2MZZ3, B0CQ1WYWYJ, B0CQ6ZHNBD, B0CWLBKDZR, B0CWNPGTD6, B0CWN55SQH, B0CWN84KPY, B0DHN5HB94, B0CWKWYFGV, B0CW1Q87P7, B0CWKYPGN4, B0CQ78T7T6, B0CW1B7HSX, B0CWNPHXJF, B0CQ27DJJC, B0CWNF5X3N, B0CWKYKM77, B0CWNBTDRD, B0CWN3PMK9, B0CWN1G8V1, B0CWN7C6V9, B0CWL1GCWZ, B0CWN4NL5N, B0CWN74J9V, B0CWNPHXJC, B0DHMTJPMN, B0DHN3ZQHR, B0CQ6Y5LDC, B0CWNGRQXZ, B0CWL8C7ZV, B0CWN6592T, B0CWNN8JBK, B0CWN4KF37, B0CWMRXMWG, B0CWMY263C, B0CQ1MF6G3, B0CWL99NHQ, B0CWLC2B2D, B0CWNG7WTQ, B0CWNBVC66, B0CWN14XZ2, B0CQ7N5CWH, B0CWKVWDCQ, B0CWN2839Q, B0CWN46JJM, B0CW19BX7F, B0CWLF3K2P, B0CWMY4P28, B0CWN79ZLH, B0D8GMP7CR, B0DHN1P1NG, B0CWN46JJY, B0CWNCRL7S, B0CWL9BVMW, B0CWM6NHZ7, B0CWMWF1HD, B0CWN9MBXW, B0CWNCXR1P, B0D8GNM88V, B0CQ7GCN34, B0CWN7NLB9, B0CWN95SQW, B0CWKZL8TV, B0CWNG35NF, B0CWMWVFFS, B0CWN28RTV, B0CWN9N8X5, B0CWN9K1RW, B0CWN16JW9, B0CWN6JZHV, B0CQ1KYYKW, B0CWKWWS2V, B0CWNKYKJZ, B0DHN2PHTH, B0CWNCJJZG, B0CWKVV453, B0CWL7VRQ4, B0CWNC7V9N, B0CWL1GQY3, B0CWMVWJVW, B0CWN8YGQF, B0CWNG1WYD, B0CWMWFN6H, B0DHMMHCRC, B0CW186LLH, B0CWN82K9S, B0CWN9KBDX, B0CWLC47L5, B0CWN282DL, B0CWMT7W6M, B0CWMZ5XHG, B0CWL8B2R5, B0CWN7W8RH, B0CWNDBHB5, B0CWL9J7GJ, B0CWN9N8XJ, B0CWN6JZHK, B0CWN4M9GC, B0CWMRXBDW, B0CWNGMXXX, B0CWN8HSXV, B0CWN2Z8K2, B0CWNKXZ9B, B0CWM818JV, B0CWNBX3NS, B0CWLBSDSY, B0D8GJ1HJ2, B0CWN94P26, B0CWL2V4S3, B0CWMWJDF6, B0CWL899XP, B0CWKYW2HD, B0CQ1W71ZQ]",amzn1.campaign.3DS0AQFFLRKYS,15% COMMISSION FOR YOU!!!! Flannel Fleece 3D Ribbed & 3D Clouds Blanket,NEWCOSPLAY,2026-09-05,2026-11-30,15.00%,5000.0,5000.0,25,800,false
