ASIN List,Campaign Id,Campaign Name,Brand Name,Campaign Start Date,Campaign End Date,Commission Rate,Campaign Budget,Budget Remaining,Available Slot,Total Slot,Recommended
"[B09Q8N57MB, B09Q8MV1SR, B09Q8PHRRZ, B0DQWDRNNW, B0GRMQWTWR, B0BZC8CCYB, B0B3QFY3B8, B0C32Y592Y, B0C331T7X9, B0B3RG62XQ, B0DQWFFN5M, B0CX57Y36W, B0GRMSMLJ8, B0C32W4P2M, B0DQWBFGTG, B0C3318JFX, B0DQWD3S6J, B09Q8N7QZ4, B0B3QR7PZN, B0CX46C8TZ, B0CX5924T9, B0CX59H2RC, B09Q8MNPKL, B0C32W17P3, B0GRMWCPNS, B0DQWBT6PG, B0CX584JQV, B0CX572BLG, B0GRMXKXF6, B0BZC8CWMZ, B09Q8N8KS2, B0B3QT67SK, B0BZC7WTXZ, B0CX58XHC4, B0DQWDGLDY, B0CX589Z1G, B09Q8PPY6C, B0DQW9ZSF5, B09Q8MW6DC, B0C32ZZD1R, B0B3R7X6LG, B09Q8MZWKW, B0B3QTG4F1, B0CX57MS7L, B0GRMN1TCP, B09Q8MJ66J, B0GRMHX58S, B0C32VZG6F, B0GRMQTRJ4, B0B3QM716B, B0C32VWSL1, B0DQWBFGTN, B09Q8N58PH, B0CX58MPHF, B0CX59WD2W, B0CX58BYXK, B0B3QY56KL, B09Q8MJT8R, B0GRMZPZHD, B09Q8Q5FZP]",amzn1.campaign.1GB03DQ7N2KLY,FR1222SD100209,FREEYE,2026-05-19,2026-10-31,10.00%,5000.0,5000.0,41,800,false
"[B0GSZKK3QR, B0GSZT44K9, B0GSZN3WDQ, B0GSZK5NT1, B078RKMKTQ, B0GVKRR3HG, B0GSZDQR54, B0GSZDQR57, B0GSZW5LY2, B0GSZQVWNY, B0GSZGK1GB, B0GSZHSSD6, B0GSZMXWVJ, B0GSZ7VWDK, B078RKN4H1, B0GSZNHRQW, B0GSZH9T6Z, B0GSZSTP21, B0GSZK8QST, B0GSZPCCF4, B0GSZMCRXC, B0GSZNR8X3, B0GSZP7VG4, B0GSZM1N8X, B0GSZ8293C, B0GVKMBNFL, B0GVKDNNGF, B0GSZLHWKK, B078RKDSB9, B0GVKPN13V, B078RKJHJQ, B0GSZSVNT3, B078RKYBVB, B0GSZR3GDD, B0GSZQYCL6, B0GSZKMZ24, B078RK8Y42, B0GSZWRKSX, B0GSZHS9BM, B078RKDCB4, B0GSZL4YZL, B0GSZKBV6C, B0GSZT24T3, B078RDRBLQ, B0GSZK823Q, B0GSZ9W5KF, B0GSZJYDBF, B0GSZN7WSG, B0GSZMLV6C, B0GSZLMBMB, B0GSZQS9GJ, B0GSZB5PV3, B078RLRXCR, B0GSZJRX66, B0GSZGXN61, B078RL4QP7, B0GSZR1YGD, B0GSZSCM11]",amzn1.campaign.GST9GPPSOSBU,Secure Double-Button Band for Apple Watch Series 11/10/9 🔒🛡️,U191U,2026-05-18,2027-05-13,12.00%,5000.0,5000.0,32,800,false
"[B0D1FYW27T, B0D1TRF2P2, B0D1FYGS5C, B0D1V6VF37, B0D1TGRRSJ, B0D1V6B55Z, B0D1FYJ37N, B0D1TNSZTT, B0D1FP12YX, B0D1THGVN7, B0D1FTTTHH, B0D1FWGNFG, B0D1FVNMBG, B0D1TQBRS4, B0D1G43FWZ]",amzn1.campaign.3HRL36A2L9KFX,KALIYADI Polarized sunglasses-KAS2411 2026-5-15,KALIYADI,2026-05-18,2026-10-12,10.00%,5000.0,5000.0,19,800,false
"[B0DT155KK3, B0F2H1WPBF, B0F2SJ1RJW, B0F3XF4WBM, B0F9Y6T1FJ, B0DT16TN3K, B0F2H27L7M, B0DT13XMXB, B0DT166S6W, B0F2H23K83, B0FCS2BWVC, B0DT16L7P1, B0F5NRHSGR, B0FDWMD55J]",amzn1.campaign.3RIUBQK6WHJZX,It's So Hot!!🔥🔥🔥Designer Sunglasses Dupe！Earrings Sunglasses🔥🔥🔥 SGt18,SODQW,2026-05-18,2027-05-17,10.00%,999999.0,999999.0,7,800,false
"[B09Q8N57MB, B09Q8MV1SR, B09Q8PHRRZ, B0DQWDRNNW, B0GRMQWTWR, B0BZC8CCYB, B0B3QFY3B8, B0C32Y592Y, B0C331T7X9, B0B3RG62XQ, B0DQWFFN5M, B0CX57Y36W, B0GRMSMLJ8, B0C32W4P2M, B0DQWBFGTG, B0C3318JFX, B0DQWD3S6J, B09Q8N7QZ4, B0B3QR7PZN, B0CX46C8TZ, B0CX5924T9, B0CX59H2RC, B09Q8MNPKL, B0C32W17P3, B0GRMWCPNS, B0DQWBT6PG, B0CX584JQV, B0CX572BLG, B0GRMXKXF6, B0BZC8CWMZ, B09Q8N8KS2, B0B3QT67SK, B0BZC7WTXZ, B0CX58XHC4, B0DQWDGLDY, B0CX589Z1G, B09Q8PPY6C, B0DQW9ZSF5, B09Q8MW6DC, B0C32ZZD1R, B0B3R7X6LG, B09Q8MZWKW, B0B3QTG4F1, B0CX57MS7L, B0GRMN1TCP, B09Q8MJ66J, B0GRMHX58S, B0C32VZG6F, B0GRMQTRJ4, B0B3QM716B, B0C32VWSL1, B0DQWBFGTN, B09Q8N58PH, B0CX58MPHF, B0CX59WD2W, B0CX58BYXK, B0B3QY56KL, B09Q8MJT8R, B0GRMZPZHD, B09Q8Q5FZP]",amzn1.campaign.1MPWGHHZ3DHHW,FR1222SD100209,FREEYE,2026-05-18,2026-10-31,10.00%,5000.0,4996.4,39,800,false
"[B0GSZKK3QR, B0GSZT44K9, B0GSZN3WDQ, B0GSZK5NT1, B078RKMKTQ, B0GVKRR3HG, B0GSZDQR54, B0GSZDQR57, B0GSZW5LY2, B0GSZQVWNY, B0GSZGK1GB, B0GSZHSSD6, B0GSZMXWVJ, B0GSZ7VWDK, B078RKN4H1, B0GSZNHRQW, B0GSZH9T6Z, B0GSZSTP21, B0GSZK8QST, B0GSZPCCF4, B0GSZMCRXC, B0GSZNR8X3, B0GSZP7VG4, B0GSZM1N8X, B0GSZ8293C, B0GVKMBNFL, B0GVKDNNGF, B0GSZLHWKK, B078RKDSB9, B0GVKPN13V, B078RKJHJQ, B0GSZSVNT3, B078RKYBVB, B0GSZR3GDD, B0GSZQYCL6, B0GSZKMZ24, B078RK8Y42, B0GSZWRKSX, B0GSZHS9BM, B078RKDCB4, B0GSZL4YZL, B0GSZKBV6C, B0GSZT24T3, B078RDRBLQ, B0GSZK823Q, B0GSZ9W5KF, B0GSZJYDBF, B0GSZN7WSG, B0GSZMLV6C, B0GSZLMBMB, B0GSZQS9GJ, B0GSZB5PV3, B078RLRXCR, B0GSZJRX66, B0GSZGXN61, B078RL4QP7, B0GSZR1YGD, B0GSZSCM11]",amzn1.campaign.68GCVY89J8ZL,Dressy Metal Band for Apple Watch 46mm/45mm/44mm 🥂🌹,U191U,2026-05-18,2027-05-14,12.00%,5000.0,5000.0,35,800,false
[B0GLYJ9C2V],amzn1.campaign.3PZG8RRO14WN1,Joyhalo misting system with timer,joyhalo,2026-05-18,2026-12-01,10.00%,5000.0,4963.73,26,800,false
"[B0D1FYW27T, B0D1TRF2P2, B0D1FYGS5C, B0D1V6VF37, B0D1TGRRSJ, B0D1V6B55Z, B0D1FYJ37N, B0D1TNSZTT, B0D1FP12YX, B0D1THGVN7, B0D1FTTTHH, B0D1FWGNFG, B0D1FVNMBG, B0D1TQBRS4, B0D1G43FWZ]",amzn1.campaign.28XL8C0HS8AC3,KALIYADI Polarized sunglasses-KAS2411 2026-5-15,KALIYADI,2026-05-18,2026-10-02,10.00%,5000.0,5000.0,19,800,false
"[B0GSZKK3QR, B0GSZT44K9, B0GSZN3WDQ, B0GSZK5NT1, B078RKMKTQ, B0GVKRR3HG, B0GSZDQR54, B0GSZDQR57, B0GSZW5LY2, B0GSZQVWNY, B0GSZGK1GB, B0GSZHSSD6, B0GSZMXWVJ, B0GSZ7VWDK, B078RKN4H1, B0GSZNHRQW, B0GSZH9T6Z, B0GSZSTP21, B0GSZK8QST, B0GSZPCCF4, B0GSZMCRXC, B0GSZNR8X3, B0GSZP7VG4, B0GSZM1N8X, B0GSZ8293C, B0GVKMBNFL, B0GVKDNNGF, B0GSZLHWKK, B078RKDSB9, B0GVKPN13V, B078RKJHJQ, B0GSZSVNT3, B078RKYBVB, B0GSZR3GDD, B0GSZQYCL6, B0GSZKMZ24, B078RK8Y42, B0GSZWRKSX, B0GSZHS9BM, B078RKDCB4, B0GSZL4YZL, B0GSZKBV6C, B0GSZT24T3, B078RDRBLQ, B0GSZK823Q, B0GSZ9W5KF, B0GSZJYDBF, B0GSZN7WSG, B0GSZMLV6C, B0GSZLMBMB, B0GSZQS9GJ, B0GSZB5PV3, B078RLRXCR, B0GSZJRX66, B0GSZGXN61, B078RL4QP7, B0GSZR1YGD, B0GSZSCM11]",amzn1.campaign.2V8V3GS8ILPF9,Perfect Titanium Color Band for Apple Watch Ultra 3/2/1 ⌚️🔥,U191U,2026-05-18,2027-05-15,13.00%,5000.0,5000.0,27,800,false
"[B0GSZKK3QR, B0GSZT44K9, B0GSZN3WDQ, B0GSZK5NT1, B078RKMKTQ, B0GVKRR3HG, B0GSZDQR54, B0GSZDQR57, B0GSZW5LY2, B0GSZQVWNY, B0GSZGK1GB, B0GSZHSSD6, B0GSZMXWVJ, B0GSZ7VWDK, B078RKN4H1, B0GSZNHRQW, B0GSZH9T6Z, B0GSZSTP21, B0GSZK8QST, B0GSZPCCF4, B0GSZMCRXC, B0GSZNR8X3, B0GSZP7VG4, B0GSZM1N8X, B0GSZ8293C, B0GVKMBNFL, B0GVKDNNGF, B0GSZLHWKK, B078RKDSB9, B0GVKPN13V, B078RKJHJQ, B0GSZSVNT3, B078RKYBVB, B0GSZR3GDD, B0GSZQYCL6, B0GSZKMZ24, B078RK8Y42, B0GSZWRKSX, B0GSZHS9BM, B078RKDCB4, B0GSZL4YZL, B0GSZKBV6C, B0GSZT24T3, B078RDRBLQ, B0GSZK823Q, B0GSZ9W5KF, B0GSZJYDBF, B0GSZN7WSG, B0GSZMLV6C, B0GSZLMBMB, B0GSZQS9GJ, B0GSZB5PV3, B078RLRXCR, B0GSZJRX66, B0GSZGXN61, B078RL4QP7, B0GSZR1YGD, B0GSZSCM11]",amzn1.campaign.2HTU5K7Q1W78U,Sleek Metal Band for Apple Watch Ultra 2/Series 11/10 💼✨,U191U,2026-05-18,2027-05-16,14.00%,5000.0,5000.0,28,800,false
"[B0DP2FW6WD, B0DP2G223P, B0DP2GFM8F, B0DP2H9NM8, B0DP2GBDKD]",amzn1.campaign.1U65A08BMY84C,🔥🔥🔥 Tangle Free Aviator Sunglasses! Bestseller!!🔥🔥SG2415,SODQW,2026-05-19,2027-05-18,10.00%,999999.0,999999.0,0,800,false
"[B0D1FYW27T, B0D1TRF2P2, B0D1FYGS5C, B0D1V6VF37, B0D1TGRRSJ, B0D1V6B55Z, B0D1FYJ37N, B0D1TNSZTT, B0D1FP12YX, B0D1THGVN7, B0D1FTTTHH, B0D1FWGNFG, B0D1FVNMBG, B0D1TQBRS4, B0D1G43FWZ]",amzn1.campaign.S54LHLSI33NR,KALIYADI Polarized sunglasses-KAS2411 2026-5-15,KALIYADI,2026-05-18,2026-10-01,10.00%,5000.0,4997.92,24,800,false
[B0GXYRPJ3G],amzn1.campaign.2U6YONXRUOYT3,New Massca Dual Action Case Clamp,Massca,2026-05-18,2026-09-30,10.00%,5000.0,4992.0,16,800,false
"[B0DP2FW6WD, B0DP2G223P, B0DP2GFM8F, B0DP2H9NM8, B0DP2GBDKD]",amzn1.campaign.1CS1GNAIR1AVU,🔥🔥🔥 Tangle Free Aviator Sunglasses! Bestseller!!🔥🔥SG2415,SODQW,2026-05-18,2027-05-17,10.00%,999999.0,999999.0,9,800,false
"[B0DP8YWKF8, B0FCF5XCSG, B0GG3MD7T6, B0DP921BN2, B0DP8ZRRHJ, B0GG48S65G, B0GQS9YVWM, B0GG4C67ZC, B0FCF6DK4D, B0GQS4N835, B0GG42ZXZT, B0DP8ZTSYJ, B0GG3DMXW3]",amzn1.campaign.3F0VKCM2O9E0M,🔥🔥🔥 Tangle Free Aviator Sunglasses! Bestseller!!🔥🔥SG6002,SODQW,2026-05-19,2027-05-18,10.00%,999999.0,999999.0,0,800,false
